e2c_total_bytes,e4_entropy_h,e5_entropy_c,e6_time_char,e6b_flow_duration_ms,e2_client_size,e2_client_record_len,e2_server_record_len,e3_cert_parsed,e1_alg_suite_Unknown(0x11eb),e1_alg_suite_Unknown(0x11ec),e1_alg_suite_mlkem1024,e1_alg_suite_mlkem768,e1_alg_suite_x25519,e1_alg_suite_nan,e8_proto_context_TLSv1.2_or_older,e8_proto_context_TLSv1.3,e9_conn_outcome_Failure,e9_conn_outcome_Incomplete,e9_conn_outcome_Success,e3_sig_alg_Unknown(0x0028),e3_sig_alg_nan,e1b_tls_version_SSL3.0,e1b_tls_version_TLS1.0,e1b_ciphersuite_2,e1b_ciphersuite_54,e1b_ciphersuite_60,e2b_tls_version_SSL3.0,e2b_tls_version_TLS1.0,e2b_ciphersuite_2,e2b_ciphersuite_54,e2b_ciphersuite_60,idx,subtype
8036,4.5625,5.6285,2.14,73.59313965,32.0,285,5316.0,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,38510,high_jitter_classic
8272,5.0,6.0216,7.98,303.9860725,32.0,285,5316.0,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,39009,high_jitter_classic
15770,4.5625,4.056,0.75,1386.322021,1184.0,1429,5330.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,37510,high_latency
16006,5.0,4.5236,4.94,4522.223949,1184.0,1429,5330.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,38009,high_latency
18194,4.5,4.1757,0.61,3.476858139,1184.0,1429,5330.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,38010,high_loss
18340,5.0,4.5236,26.11,416.4090157,1184.0,1429,5330.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,38509,high_loss
1500,4.5389,0.0,0.0,0.0,1184.0,1429,0.0,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,39010,data_exfil
1500,4.5389,0.0,0.0,0.0,1184.0,1429,0.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,39010,data_exfil
1573,5.0,0.0,0.0,1.899003983,1184.0,1429,0.0,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,39509,data_exfil
1573,5.0,0.0,0.0,1.899003983,1184.0,1429,0.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,39509,data_exfil
10412,4.5153,5.5758,2.1,3.980875015,1184.0,1429,5322.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,36000,hybrid_pki
10412,5.0,6.0506,20.84,25.12216568,1184.0,1429,5322.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,36499,hybrid_pki
1573,4.5389,0.0,0.08,0.084877014,1184.0,1429,2.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,35000,kem_mismatch
1573,5.0,0.0,8.43,8.43000412,1184.0,1429,2.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,35499,kem_mismatch
306,4.6014,0.0,0.1,0.102996826,0.0,162,2.0,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,35500,pqc_over_tls12
306,5.0,0.0,1.2,1.204013824,0.0,162,2.0,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,35999,pqc_over_tls12
1590,4.6014,0.0,0.0,0.0,1216.0,1519,0.0,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,39510,gray_mimicry
1590,4.6014,0.0,0.0,0.0,1216.0,1519,0.0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,39510,gray_mimicry
1663,5.0,0.0,0.0,1.549005508,1216.0,1519,0.0,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,40009,gray_mimicry
1663,5.0,0.0,0.0,1.549005508,1216.0,1519,0.0,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,40009,gray_mimicry
7641,4.3667,4.0018,0.28,1.338005066,32.0,285,5316.0,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,0,baseline_normal
7641,4.3667,4.0018,0.28,1.338005066,32.0,285,5316.0,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,0,baseline_normal
22615,5.0,6.1085,94.15,97.78308868,1568.0,1813,7502.0,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,34999,baseline_normal
22615,5.0,6.1085,94.15,97.78308868,1568.0,1813,7502.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,34999,baseline_normal
1573,4.5389,0.0,0.09,0.087022781,1184.0,1429,2.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,37000,raf_alg_mismatch
1573,5.0,0.0,1.62,1.622200012,1184.0,1429,2.0,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,37499,raf_alg_mismatch
9886,4.625,5.6229,0.2,4.130840302,1184.0,1439,5325.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,36500,raf_downgrade_overt
9886,5.0,6.0506,2.26,28.08403969,1184.0,1439,5325.0,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,36999,raf_downgrade_overt
285,0.0,0.0,0.07,0.066995621,64.0,129,2.0,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,37500,malformed_keyshare
285,0.0,0.0,2.91,2.910137177,64.0,129,2.0,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,37509,malformed_keyshare
